,fid,shapeGroup,shapeType,shapeName,bbox
150,151,SEN,ADM0,Senegal,"-17.529521601265653,12.338451083442196,-11.350749967478636,16.65331776326617"
151,152,SVK,ADM0,Slovakia,"16.833468834686702,47.7315864812071,22.565729979296403,49.613604312595754"
152,153,SVN,ADM0,Slovenia,"13.3755877043578,45.42506135217741,16.60618090363607,46.87666487546542"
153,154,SLB,ADM0,Solomon Is,"155.52038812504207,-11.822524402713382,167.19294062110492,-5.434737129214983"
154,155,SOM,ADM0,Somalia,"40.99438876671738,-1.662030572948564,51.415010047688725,11.988725044222887"
155,156,ZAF,ADM0,South Africa,"16.45449473645016,-46.94593085243921,38.00124378545499,-22.21669925115859"
156,157,SSD,ADM0,South Sudan,"23.518407117288323,3.500632141180506,35.94899738063447,12.219002657722752"
157,158,ESP,ADM0,Spain,"-18.160458388781162,27.639361940899864,4.2883135050099925,43.79206210444411"
158,159,LKA,ADM0,Sri Lanka,"79.6554345332961,5.91456222503503,81.86877204038052,9.832060365337155"
159,160,KNA,ADM0,St Kitts & Nevis,"-62.84836569493534,17.092026548230326,-62.543737369219784,17.36165418516924"
160,161,LCA,ADM0,St Lucia,"-61.08126796459747,13.704748371691325,-60.87328654315921,13.972042197776444"
161,162,VCT,ADM0,St Vincent & the Grenadines,"-61.46060034607507,12.589559200200954,-61.11960627139142,13.242478028213823"
162,163,SDN,ADM0,Sudan,"21.814815091429242,9.488892858728521,38.58224484624708,23.14640163071098"
163,164,SUR,ADM0,Suriname,"-58.070210821281805,1.8874474579294709,-53.99863728441365,5.9559729538024415"
164,165,SWZ,ADM0,Swaziland,"30.79066120280581,-27.317389838786777,31.977472438833725,-25.9211522538389"
165,166,SWE,ADM0,Sweden,"10.982300439448524,55.37789567150418,24.15234252694776,69.04660177002987"
166,167,CHE,ADM0,Switzerland,"5.955362640280472,45.81885469209345,10.4757307219877,47.80045672916921"
167,168,SYR,ADM0,Syria,"35.595508177918674,32.31112988692982,42.34090475745006,37.235518443996014"
168,169,TWN,ADM0,Taiwan,"116.7103861009906,20.69759052292466,122.00666132662928,26.38317383495497"
169,170,TJK,ADM0,Tajikistan,"67.34200088977823,36.67227753942913,75.15396189255506,41.042634296468464"
170,171,TZA,ADM0,Tanzania,"29.341091994861817,-11.6912599560747,40.42941888096297,-0.9999999514958681"
171,172,THA,ADM0,Thailand,"97.34441556953834,5.613475797119906,105.63468469913698,20.398215211487322"
172,173,TLS,ADM0,Timor-Leste,"124.04189127749919,-9.48511352153342,127.29989314471891,-8.13460869820999"
173,174,TGO,ADM0,Togo,"-0.13625859511748,6.11226579768186,1.800932103916009,11.139490998965469"
174,175,TUV,ADM0,Tuvalu,"176.13497575160596,-9.427488255664612,179.9112343270263,-5.662929209611451"
175,176,UGA,ADM0,Uganda,"29.591173697125218,-1.387708486527015,35.03304627485173,4.183766371417545"
176,177,URY,ADM0,Uruguay,"-58.419536981320206,-34.97737913313114,-53.07793892568678,-30.085316339167566"
177,178,UZB,ADM0,Uzbekistan,"55.998216052797716,37.172259273193035,73.14367941234431,45.590064745096015"
